phase,batch_size,repeat_idx,duration_s,mean_ttft_s,mean_tpot_s,avg_power_w,peak_power_w,total_energy_j,throughput_tps,j_per_token,total_output_tokens
prefill,1,1,1.8505,1.8505,3e-06,185.12,265.4,346.6477,0.54,346.6477,1
decode,1,1,6.2505,0.0519,0.024213,168.11,176.1,1052.7687,41.01,4.1124,256
prefill,1,2,1.844,1.844,3e-06,188.28,262.98,348.2082,0.55,348.2082,1
decode,1,2,6.2334,0.0513,0.024149,169.71,176.59,1059.2208,41.15,4.1376,256
prefill,2,1,3.6761,2.7571,0.918997,191.64,266.36,708.746,0.54,354.373,2
decode,2,1,6.4734,0.0915,0.024929,169.34,176.22,1099.5609,79.1,2.1476,512
prefill,2,2,3.6784,2.7592,0.919182,192.0,267.81,711.1715,0.54,355.5857,2
decode,2,2,6.4227,0.062,0.024847,160.92,166.52,1034.9788,79.86,2.0214,512
prefill,4,1,7.363,5.0615,2.301526,191.15,298.54,1413.1236,0.54,353.2809,4
decode,4,1,6.5523,0.069,0.025326,171.72,182.53,1126.6141,156.57,1.1002,1024
prefill,4,2,7.3639,5.0605,2.303432,192.12,296.61,1419.2216,0.54,354.8054,4
decode,4,2,6.5602,0.0697,0.025354,161.82,171.97,1064.684,156.12,1.0397,1024
prefill,8,1,14.7098,8.9489,5.760831,191.98,296.61,2836.5109,0.54,354.5639,8
decode,8,1,6.7153,0.0737,0.025944,178.53,195.72,1201.3154,305.29,0.5866,2048
prefill,8,2,14.7398,8.9662,5.77361,193.77,295.16,2868.7153,0.54,358.5894,8
decode,8,2,6.7077,0.0729,0.025917,169.27,188.1,1136.2973,306.01,0.5548,2048
prefill,16,1,29.5623,16.4766,13.085665,193.36,296.13,5731.6539,0.54,358.2284,16
decode,16,1,7.1064,0.103,0.027357,190.59,263.77,1358.1019,576.47,0.3316,4096
prefill,16,2,29.6035,16.494,13.109531,194.91,295.93,5784.2413,0.54,361.5151,16
decode,16,2,7.0866,0.0739,0.027393,181.56,276.69,1288.4333,578.9,0.3146,4096
