phase,batch_size,duration_s,mean_ttft_s,mean_tpot_s,avg_power_w,peak_power_w,total_energy_j,throughput_tps,j_per_token,total_output_tokens
prefill,1,1.8473,1.8473,0.000003,186.70,264.19,347.4280,0.55,347.4280,1.00
prefill,2,3.6772,2.7581,0.919090,191.82,267.09,709.9588,0.54,354.9793,2.00
prefill,4,7.3635,5.0610,2.302479,191.63,297.58,1416.1726,0.54,354.0431,4.00
prefill,8,14.7248,8.9576,5.767220,192.88,295.88,2852.6131,0.54,356.5766,8.00
prefill,16,29.5829,16.4853,13.097598,194.13,296.03,5757.9476,0.54,359.8718,16.00
decode,1,6.2419,0.0516,0.024181,168.91,176.34,1055.9948,41.08,4.1250,256.00
decode,2,6.4481,0.0767,0.024888,165.13,171.37,1067.2699,79.48,2.0845,512.00
decode,4,6.5563,0.0693,0.025340,166.77,177.25,1095.6490,156.34,1.0699,1024.00
decode,8,6.7115,0.0733,0.025930,173.90,191.91,1168.8063,305.65,0.5707,2048.00
decode,16,7.0965,0.0885,0.027375,186.07,270.23,1323.2676,577.68,0.3231,4096.00
