input_length,prompt_tokens,output_tokens,ttft_s,total_duration_s,peak_power_w,total_energy_j,j_per_token,prefill_energy_j,decode_energy_j
200,56,128,0.3502224029998615,3.587482621000163,239.622,604.0831250762462,4.719399414658174,29.78100371785164,574.3021213583946
400,110,128,0.05135130799953913,3.2623273379995226,236.562,579.6113385974407,4.528213582792506,2.8084000000000002,576.8029385974407
600,195,128,0.05889749200014194,3.2406823110004552,281.902,594.1351882637978,4.64168115831092,17.560493160152433,576.5746951036452
800,243,128,0.05133128299985401,3.2400472639992586,237.203,589.619488536501,4.606402254191414,2.9059000000000004,586.7135885365009
1000,326,128,0.059997366999596125,3.2383514359999026,306.546,591.1247469450475,4.6181620855081835,18.71190039720535,572.4128465478422
1200,379,128,0.05212383900015993,3.22855995000009,243.492,576.2684118946552,4.5020969679269935,15.44354997215271,560.8248619225026
1400,437,128,0.0592488879992743,3.2498148689992377,291.394,588.2569801682472,4.595757657564431,19.651986493492128,568.6049936747552
1600,498,128,0.0598591750003834,3.2375619029999143,290.911,596.056223601246,4.656689246884734,18.042850027227402,578.0133735740185
1800,545,128,0.05571471900020697,3.2297772089996215,247.683,591.6559388071537,4.622312021930888,16.150394622707367,575.5055441844463
2000,614,128,0.061663700999815774,3.246822181000425,291.78,592.4646666468622,4.628630208178611,19.90291471042633,572.5617519364357
